Question,Answer
- 11 - 83 + 28 - 34 - 45 - 81 + 88 - 85,-223
- 20 - 87 - 11 + 11 - 48 + 36 - 52 - 59,-230
77 - 88 - 48 + 35 - 22 - 51 + 24 - 66,-139
- 51 + 76 - 90 - 71 + 11 + 40 + 34 + 89,38
- 47 - 36 - 42 + 95 + 45 - 20 - 12 - 71,-88
- 93 + 10 + 42 - 46 - 29 - 23 - 66 + 64,-141
84 + 76 + 29 - 99 + 43 - 40 + 24 - 22,95
- 83 - 94 + 39 - 88 + 87 - 42 + 25 + 14,-142
16 - 97 + 88 + 60 + 39 - 28 - 15 - 26,37
14 + 95 - 74 + 73 - 89 - 20 + 28 - 45,-18
- 18 - 41 + 81 - 53 - 49 + 98 - 61 - 36,-79
41 + 78 + 49 - 18 - 64 + 85 + 97 - 38,230
68 - 25 - 41 + 87 + 34 - 49 + 26 - 63,37
77 - 73 - 78 - 54 + 14 + 36 - 35 + 58,-55
30 - 84 - 18 + 96 + 49 + 26 - 17 + 50,132
89 + 30 + 77 + 52 + 68 - 48 + 85 - 99,254
91 + 34 - 78 + 43 + 26 - 99 - 51 - 90,-124
- 59 + 43 - 17 + 17 + 78 + 22 + 35 + 76,195
- 75 + 31 + 82 - 86 + 72 + 79 + 57 + 28,188
54 + 86 + 15 + 24 - 17 - 96 - 88 - 74,-96
54 - 56 + 73 - 14 + 55 + 77 - 61 - 74,54
68 + 58 - 58 - 81 - 87 - 51 + 53 - 57,-155
43 - 57 + 12 + 10 - 54 + 38 + 87 - 57,22
- 71 + 97 - 11 + 38 - 12 - 78 - 82 - 12,-131
47 + 35 + 12 - 86 + 17 + 78 - 94 - 63,-54
44 - 93 + 75 + 29 - 46 - 12 + 46 + 86,129
- 46 + 41 + 57 - 17 - 54 + 26 - 53 - 92,-138
69 - 43 + 59 - 12 + 65 - 76 - 70 - 18,-26
47 - 88 - 75 + 19 + 68 - 84 - 60 - 79,-252
- 56 - 75 - 99 + 37 + 21 + 45 - 14 + 46,-95
- 70 - 85 + 97 - 69 - 98 - 68 + 80 - 42,-255
72 - 58 - 37 - 10 + 77 - 58 - 30 + 79,35
47 + 50 - 17 + 67 + 30 + 76 - 86 + 40,207
- 50 - 55 + 91 - 47 + 75 + 10 - 85 - 10,-71
63 + 81 + 79 + 65 + 37 + 62 - 58 - 19,310
- 80 + 21 + 72 - 43 + 49 - 41 - 55 + 41,-36
81 + 86 + 45 + 33 + 90 + 94 - 54 - 44,331
- 10 + 34 + 33 - 20 - 90 + 61 - 25 + 13,-4
- 50 - 86 - 50 - 91 + 77 + 50 + 57 + 76,-17
93 + 84 - 92 - 56 + 88 + 84 + 61 + 10,272
- 63 - 24 + 52 - 48 + 60 - 26 - 52 + 21,-80
69 - 36 - 18 + 41 + 56 - 42 + 40 - 91,19
- 44 + 40 + 40 + 84 + 99 + 47 - 42 - 61,163
- 62 - 34 + 91 - 25 + 62 + 61 - 45 + 13,61
- 38 - 95 - 61 - 30 - 59 + 21 - 67 + 46,-283
- 67 + 38 - 46 + 87 + 76 + 21 - 27 + 71,153
- 91 - 83 - 76 + 22 + 90 + 50 - 77 + 63,-102
92 - 75 - 93 + 64 - 83 + 39 + 29 - 41,-68
39 - 17 + 83 - 65 + 56 + 25 - 98 - 37,-14
- 21 - 77 - 22 + 71 - 33 + 20 + 76 - 21,-7
- 80 - 87 + 87 - 69 + 79 - 12 - 94 - 60,-236
89 - 60 - 24 + 11 - 39 - 51 - 31 + 64,-41
- 51 - 87 + 64 - 37 - 22 - 25 - 33 + 49,-142
- 94 + 28 - 59 + 49 + 45 - 18 + 52 - 87,-84
36 + 25 - 61 + 26 + 41 - 24 - 93 - 67,-117
24 + 81 + 86 - 63 + 71 + 11 + 74 + 71,355
21 + 85 - 77 + 44 - 67 - 54 + 75 + 27,54
77 + 29 - 77 + 57 - 13 - 22 + 62 + 28,141
- 15 - 75 - 41 + 72 + 45 - 48 - 85 - 95,-242
15 - 82 - 52 - 39 + 73 + 36 + 35 - 22,-36
- 74 - 32 - 30 - 92 + 44 + 23 - 86 + 33,-214
37 - 39 + 28 + 78 - 53 + 49 + 94 - 80,114
94 + 91 + 22 - 40 - 80 + 36 + 22 - 62,83
51 - 84 - 99 + 38 + 63 + 16 + 51 - 23,13
- 81 - 20 - 44 - 47 - 88 - 78 + 37 + 19,-302
40 - 10 + 21 - 79 - 98 - 36 + 21 + 55,-86
17 - 64 - 74 + 58 + 90 - 70 + 96 - 17,36
39 - 42 + 64 + 64 - 16 + 94 + 44 - 34,213
- 47 + 77 - 14 - 45 + 97 - 85 + 75 - 53,5
- 36 - 42 + 59 - 16 - 47 + 45 - 21 - 46,-104
13 + 36 + 60 + 54 - 26 - 71 - 91 + 20,-5
- 79 + 17 + 43 + 68 + 59 + 99 - 36 + 17,188
- 25 - 22 + 64 + 69 - 90 + 25 - 61 - 34,-74
- 27 - 22 - 62 + 12 + 38 + 51 - 26 + 20,-16
- 59 + 47 - 38 - 10 - 81 + 51 + 84 + 82,76
38 - 46 - 58 + 75 + 30 - 87 + 28 + 72,52
89 + 32 - 21 - 31 + 18 + 83 - 70 + 67,167
55 + 78 + 41 + 76 - 42 + 71 - 67 + 83,295
- 26 + 89 + 18 - 90 - 52 + 88 + 17 + 59,103
- 90 - 41 + 78 + 11 + 36 - 75 + 41 + 89,49
72 + 66 + 97 + 24 - 68 - 15 - 28 + 86,234
66 + 78 + 48 - 49 + 49 + 49 + 69 - 65,245
- 98 - 15 - 66 + 40 - 51 - 74 - 82 + 38,-308
- 29 + 29 - 53 + 36 + 42 - 45 - 88 + 80,-28
- 63 - 96 - 49 + 21 - 94 - 92 + 84 - 76,-365
12 - 89 + 19 - 65 + 69 - 91 - 94 + 96,-143
47 - 11 - 61 + 69 + 78 - 59 + 53 - 19,97
- 92 - 74 - 50 + 39 - 46 + 40 - 85 - 29,-297
51 + 45 - 46 - 67 - 75 - 53 + 10 + 36,-99
97 - 11 - 31 + 95 + 93 + 22 + 87 - 53,299
21 - 80 - 43 - 73 - 19 + 58 - 30 + 59,-107
- 70 + 23 + 90 - 16 + 16 - 90 - 39 - 83,-169
59 - 88 + 61 - 36 + 77 + 98 - 44 - 99,28
- 38 + 31 - 98 + 32 + 99 - 78 + 57 + 39,44
- 80 - 32 - 13 - 55 + 89 - 65 - 37 - 53,-246
- 71 - 49 - 56 - 92 - 86 - 51 - 48 - 16,-469
25 - 34 - 20 + 99 - 50 - 27 - 25 + 55,23
37 + 39 - 61 - 41 - 51 - 34 + 32 + 56,-23
- 42 + 89 - 86 - 22 + 47 + 82 - 31 - 54,-17
98 + 99 + 50 + 75 + 43 - 53 - 92 - 47,173
67 - 89 - 58 + 46 + 20 + 95 - 51 + 29,59
66 + 85 + 41 + 58 - 89 + 80 - 42 - 85,114
- 29 + 15 - 78 + 46 + 85 + 74 - 55 - 25,33
28 + 69 - 33 - 51 + 91 + 72 + 70 - 82,164
92 + 32 - 10 + 73 - 26 + 98 - 64 + 91,286
31 + 10 + 89 + 42 - 35 - 13 + 16 - 72,68
- 19 - 14 + 73 + 15 - 91 - 16 + 41 + 54,43
- 24 + 93 + 98 - 83 + 51 + 79 - 66 - 70,78
96 + 79 + 34 - 87 - 12 + 69 - 60 - 88,31
- 60 - 61 - 33 + 96 - 18 + 62 + 61 - 75,-28
56 - 37 - 72 - 20 - 70 - 93 + 47 - 25,-214
57 - 86 - 90 - 43 + 70 + 57 - 59 + 30,-64
- 34 + 68 - 99 - 55 + 61 - 90 - 83 - 73,-305
- 24 + 74 - 19 - 10 - 93 + 97 + 74 + 77,176
- 82 + 75 + 68 - 90 + 41 + 12 + 69 + 51,144
81 + 64 + 38 + 48 + 36 - 97 + 52 - 85,137
- 76 + 64 + 33 - 35 + 76 + 59 - 29 + 33,125
- 86 - 48 - 68 + 42 + 88 + 57 - 64 + 28,-51
- 66 + 92 - 53 + 95 - 29 - 87 + 21 - 30,-57
- 29 + 86 + 50 + 42 + 10 - 13 - 82 - 88,-24
- 67 - 38 - 47 - 77 - 88 - 50 + 42 + 16,-309
- 20 - 63 - 76 + 46 + 93 - 32 + 22 - 33,-63
- 77 - 67 - 84 + 85 - 94 - 20 + 44 + 13,-200
- 83 - 70 - 19 + 26 + 77 - 23 - 35 + 32,-95
- 97 + 62 + 89 + 10 - 46 - 41 - 58 - 19,-100
- 81 - 72 - 31 + 34 - 78 + 17 + 86 - 12,-137
- 77 + 83 - 54 + 34 + 88 - 50 + 69 + 42,135
- 41 - 69 + 42 - 17 - 68 + 23 + 44 - 70,-156
- 50 - 41 - 32 + 96 - 50 + 64 + 13 + 63,63
74 - 45 + 33 - 51 - 58 - 82 + 42 - 60,-147
- 23 - 85 - 55 - 34 + 99 + 78 + 72 + 14,66
- 61 + 28 - 22 + 27 - 16 - 60 + 83 + 57,36
- 74 + 38 + 38 + 18 - 88 + 74 + 35 + 13,54
- 79 + 85 - 28 + 82 - 64 - 46 + 29 + 26,5
11 - 30 + 11 - 80 - 20 - 94 - 70 + 32,-240
- 82 - 60 + 78 - 76 - 80 + 63 + 32 - 63,-188
- 13 + 30 - 70 + 32 - 64 + 78 + 82 - 26,49
15 + 21 + 69 + 94 + 46 - 80 + 16 - 75,106
27 - 68 - 36 + 85 + 97 + 38 - 94 + 29,78
41 + 56 - 46 + 98 - 41 + 49 + 36 - 15,178
41 + 32 - 55 - 79 - 79 - 77 - 78 - 50,-345
80 - 55 + 95 + 35 - 93 + 19 + 63 - 25,119
83 + 92 + 51 - 45 + 41 - 40 - 95 - 37,50
- 80 + 54 - 88 + 56 - 85 + 15 + 35 + 62,-31
60 + 78 - 51 + 25 + 38 + 37 - 36 + 25,176
46 + 57 - 93 - 65 + 97 + 68 + 72 - 32,150
- 65 - 24 - 58 - 55 - 16 + 87 + 68 + 74,11
- 49 + 12 + 67 - 88 + 67 - 63 - 40 - 47,-141
- 46 - 17 - 85 + 85 + 20 - 31 + 87 - 43,-30
- 44 + 98 - 12 - 23 + 75 + 67 + 46 + 39,246
75 + 41 - 24 + 23 - 26 - 51 - 24 - 39,-25
- 92 + 12 + 10 - 30 + 68 + 97 - 77 + 22,10
64 + 47 - 81 - 40 - 18 + 31 + 37 - 81,-41
69 - 25 + 82 - 84 - 58 + 44 + 19 - 94,-47
81 + 20 + 20 + 79 + 30 + 37 - 70 + 97,294
68 - 33 - 45 - 76 - 42 + 50 - 17 - 48,-143
- 60 + 86 - 31 - 72 - 35 - 68 + 82 - 37,-135
- 93 + 18 - 44 + 31 - 37 - 66 - 65 - 72,-328
60 - 44 - 63 + 83 + 15 - 47 - 61 - 13,-70
67 - 43 + 32 + 27 + 79 - 48 - 35 + 51,130
- 77 + 23 + 66 + 29 + 12 - 60 - 11 - 42,-60
90 + 45 + 99 - 19 - 30 + 96 - 10 - 46,225
- 71 + 74 + 18 + 79 + 40 - 25 - 70 + 90,135
- 71 + 55 + 27 + 82 - 48 - 30 - 10 - 12,-7
21 - 95 - 12 + 93 - 68 + 86 - 60 - 69,-104
28 - 30 + 55 + 58 - 64 - 87 - 31 + 57,-14
23 - 37 + 13 - 14 - 88 + 86 + 18 + 64,65
51 - 53 + 34 - 51 - 41 - 99 - 43 - 19,-221
- 65 + 32 - 80 - 53 + 41 - 76 - 72 - 35,-308
- 80 + 91 + 29 - 83 - 16 + 97 + 14 - 32,20
19 - 25 + 13 + 36 - 48 + 54 + 35 + 93,177
50 - 59 - 12 - 23 + 49 - 36 + 46 + 19,34
18 - 47 + 66 - 58 + 11 + 75 - 41 - 48,-24
- 19 - 88 - 14 + 23 - 98 + 99 + 55 + 77,35
- 64 - 46 + 94 + 11 + 92 + 93 + 77 + 50,307
52 + 91 - 80 + 58 - 51 + 60 + 64 + 29,223
- 80 + 89 - 78 + 62 + 96 - 61 + 42 + 16,86
27 - 31 - 72 - 77 + 71 - 18 + 17 - 79,-162
- 13 + 27 + 72 - 53 - 64 + 98 + 68 + 41,176
77 - 44 - 89 + 64 + 95 + 67 - 26 + 46,190
96 - 82 - 28 + 52 + 94 - 69 - 97 + 49,15
22 - 20 + 94 - 86 + 23 - 49 - 18 + 66,32
- 27 - 74 + 38 - 97 - 37 + 99 + 42 + 51,-5
41 - 37 + 12 - 13 + 58 + 32 - 15 - 97,-19
80 + 85 + 60 + 55 + 77 + 95 - 14 + 93,531
35 - 36 - 88 + 57 - 49 - 83 - 56 + 72,-148
- 84 - 76 - 30 - 30 - 58 + 59 + 11 - 31,-239
76 + 97 + 92 - 49 + 69 + 21 + 16 - 53,269
81 + 67 + 83 + 77 + 29 - 84 + 97 - 71,279
- 86 + 25 + 97 - 55 - 98 + 90 + 65 + 88,126
82 - 45 - 22 + 71 - 32 - 72 - 45 - 81,-144
22 + 15 - 19 + 83 + 92 + 56 - 56 - 18,175
43 - 26 + 79 - 23 - 88 - 32 + 27 - 15,-35
79 + 27 - 74 + 11 - 80 + 85 - 64 - 25,-41
- 41 + 19 - 70 + 12 - 38 - 12 + 28 - 90,-192
- 68 + 97 + 28 + 88 + 80 + 91 + 98 + 84,498
- 16 - 90 - 36 + 57 + 32 - 49 - 99 - 52,-253
26 + 41 + 13 - 68 - 97 + 54 - 78 + 22,-87
- 78 + 15 + 52 + 34 + 73 - 38 - 30 - 89,-61
37 + 33 + 70 + 32 - 63 - 88 + 45 - 50,16
27 - 36 - 32 + 74 - 71 - 87 + 59 + 97,31
- 73 + 17 - 44 + 28 + 44 - 92 + 73 + 24,-23
59 + 12 + 90 + 99 + 87 - 39 + 79 + 38,425
99 - 36 + 36 - 18 + 19 + 98 - 30 + 71,239
99 - 20 + 58 - 80 + 46 - 74 - 27 - 16,-14
74 - 71 - 56 - 52 - 15 + 65 - 94 - 39,-188
39 - 68 - 16 - 41 - 87 + 78 + 58 + 22,-15
31 - 43 + 75 - 98 - 56 + 96 + 71 + 38,114
- 20 - 57 + 49 + 55 + 77 - 63 - 38 - 70,-67
65 + 67 - 43 - 88 - 66 - 94 - 29 - 43,-231
- 65 + 83 - 78 - 27 + 72 + 65 - 34 + 22,38
- 73 - 46 + 24 - 47 + 50 + 31 + 99 + 21,59
69 + 17 - 22 + 83 + 46 - 96 - 75 + 67,89
69 + 72 + 74 - 20 + 17 - 99 + 10 - 77,46
38 - 64 - 87 + 23 - 68 + 88 - 69 - 21,-160
93 + 31 + 51 + 56 - 26 + 10 - 61 - 88,66
98 - 23 - 10 + 64 - 95 + 28 + 83 - 51,94
76 + 24 - 17 + 39 - 18 + 77 - 45 + 86,222
- 11 - 49 - 33 - 35 - 24 - 18 + 40 + 73,-57
- 91 - 34 + 15 + 23 + 44 - 92 + 25 + 88,-22
99 - 12 - 97 - 74 + 93 + 61 - 38 + 77,109
- 64 + 55 - 33 - 97 - 95 + 86 + 82 + 36,-30
- 48 - 38 - 15 + 79 + 39 - 81 - 79 - 19,-162
88 + 67 + 84 + 71 + 65 + 66 + 22 + 35,498
63 + 14 - 86 - 37 + 64 + 18 - 53 - 83,-100
- 38 - 71 + 73 + 33 + 76 - 55 + 96 - 94,20
74 - 89 - 90 + 48 + 50 + 68 + 62 + 78,201
- 28 + 75 + 69 - 35 - 69 - 44 + 90 + 97,155
- 71 - 62 - 52 + 28 + 56 - 64 - 25 + 76,-114
- 70 + 53 + 45 + 18 + 57 - 48 - 51 - 31,-27
54 + 26 + 51 - 15 + 27 + 71 + 86 + 39,339
- 14 + 96 - 46 - 35 + 91 + 90 + 84 - 49,217
- 80 - 65 - 50 + 11 + 46 - 97 - 75 + 51,-259
- 42 + 12 - 99 + 21 - 29 - 79 + 69 + 84,-63
- 40 - 78 - 26 - 37 + 72 - 28 + 32 + 14,-91
- 51 + 45 - 61 + 13 - 54 + 13 + 46 + 59,10
59 + 90 + 77 - 83 + 23 + 47 + 80 - 48,245
27 - 49 + 82 - 53 + 71 - 96 + 94 + 42,118
- 32 - 15 - 79 + 12 + 54 + 45 + 24 - 74,-65
35 + 93 + 22 + 28 + 81 + 93 + 33 - 64,321
76 + 91 + 70 - 52 - 54 + 26 - 85 + 43,115
74 + 12 + 12 - 69 - 56 - 55 - 66 + 77,-71
78 - 85 + 72 + 64 - 45 - 90 - 19 + 68,43
67 + 37 - 58 + 31 - 50 + 65 + 53 + 13,158
- 58 + 85 + 46 - 30 - 88 - 26 + 43 - 83,-111
83 - 43 + 41 + 55 + 60 - 18 + 81 - 28,231
- 34 - 19 - 50 + 86 + 76 + 32 - 41 + 87,137
77 - 37 + 76 + 29 + 15 + 92 - 18 - 45,189
- 11 - 25 - 54 + 90 - 38 + 25 - 14 - 91,-118
- 27 - 47 - 43 - 37 + 96 - 30 - 59 - 38,-185
- 34 + 48 + 70 - 26 + 84 + 65 + 87 + 63,357
- 52 - 49 - 71 - 20 + 37 - 71 - 81 - 71,-378
- 89 + 62 + 59 + 30 - 88 + 12 + 75 - 12,49
- 67 - 16 - 62 + 68 + 18 - 40 - 82 - 61,-242
- 88 - 71 - 38 - 15 - 97 - 16 + 56 + 22,-247
26 + 18 + 18 - 77 + 13 + 95 - 53 - 97,-57
71 + 92 + 92 - 35 - 97 + 18 + 16 + 16,173
56 - 78 - 91 + 33 - 36 + 70 + 90 - 11,33
- 82 + 79 + 30 - 73 + 96 - 40 + 39 - 46,3
- 99 - 96 - 23 + 80 + 18 + 90 + 11 - 84,-103
